TiaGitHubHash,TiaMetaInfo,TiaVstsHash,TiaRuntime,TiaTotalTests,TiaNumberOfUnAnalyzedTests,TiaNumberofTestsPassed,TiaNumberOfTestsFailed,TiaNumberOfTestsSkipped,TiaTotalNumberOfTestRun,TiaPercentageOfTestsRun,RetestAllGitHubHash,RetestAllMetaInfo,RetestAllVstsHash,RetestAllRuntime,RetestAllTotalTests,RetestAllNumberOfUnAnalyzedTests,RetestAllNumberofTestsPassed,RetestAllNumberOfTestsFailed,RetestAllNumberOfTestsSkipped,RetestAllTotalNumberOfTestRun,RetestAllPercentageOfTestsRun,ESharpGitHubHash,ESharpMetaInfo,ESharpVstsHash,ESharpRuntime,ESharpTotalTests,ESharpNumberOfUnAnalyzedTests,ESharpNumberofTestsPassed,ESharpNumberOfTestsFailed,ESharpNumberOfTestsSkipped,ESharpTotalNumberOfTestRun,ESharpPercentageOfTestsRun
24f230c1823fa2bdcdfb098b2eae8086aa759a30,2ead3d7 393 commits back from current GitHub head Hash:24f230c1823fa2bdcdfb098b2eae8086aa759a30,,97.144,2424,1285,1138,0,0,1138,0.469471947194719,24f230c1823fa2bdcdfb098b2eae8086aa759a30,2ead3d7 393 commits back from current GitHub head Hash:24f230c1823fa2bdcdfb098b2eae8086aa759a30,,41.854,2233,1,2231,0,0,2231,0.99910434393193,24f230c1823fa2bdcdfb098b2eae8086aa759a30,393_24f230c1823fa2bdcdfb098b2eae8086aa759a30_Results,,50.943,2046,292,1746,8,0,1754,0.857282502443793
6a4eca008feb1b87cae19500e40a7c3ad9077461,325b392 342 commits back from current GitHub head Hash:6a4eca008feb1b87cae19500e40a7c3ad9077461,,82.246,2494,1231,1262,0,0,1262,0.506014434643144,6a4eca008feb1b87cae19500e40a7c3ad9077461,325b392 342 commits back from current GitHub head Hash:6a4eca008feb1b87cae19500e40a7c3ad9077461,,25.507,2303,1,2301,0,0,2301,0.999131567520625,6a4eca008feb1b87cae19500e40a7c3ad9077461,342_6a4eca008feb1b87cae19500e40a7c3ad9077461_Results,,26.85,2116,331,1778,7,0,1785,0.843572778827977
f95a90893b2fcfcee14812ff3ba3d218ee70c306,3d8c10e 394 commits back from current GitHub head Hash:f95a90893b2fcfcee14812ff3ba3d218ee70c306,,108.634,2423,1182,1240,0,0,1240,0.511762278167561,f95a90893b2fcfcee14812ff3ba3d218ee70c306,3d8c10e 394 commits back from current GitHub head Hash:f95a90893b2fcfcee14812ff3ba3d218ee70c306,,41.5,2232,1,2230,0,0,2230,0.99910394265233,f95a90893b2fcfcee14812ff3ba3d218ee70c306,394_f95a90893b2fcfcee14812ff3ba3d218ee70c306_Results,,54.634,2045,227,1810,8,0,1818,0.888997555012225
73dd434d73050748237d908c89d548456aa0dbdd,415b1eb 328 commits back from current GitHub head Hash:73dd434d73050748237d908c89d548456aa0dbdd,,21.59,2510,2318,191,0,0,191,0.0760956175298805,73dd434d73050748237d908c89d548456aa0dbdd,415b1eb 328 commits back from current GitHub head Hash:73dd434d73050748237d908c89d548456aa0dbdd,,23.884,2319,1,2317,0,0,2317,0.999137559292799,73dd434d73050748237d908c89d548456aa0dbdd,328_73dd434d73050748237d908c89d548456aa0dbdd_Results,,0.006,2132,2132,0,0,0,0,0
cdecb7091538b82c9088e635322ab5c59015c39c,43ac672 327 commits back from current GitHub head Hash:cdecb7091538b82c9088e635322ab5c59015c39c,,21.6,2510,2318,191,0,0,191,0.0760956175298805,cdecb7091538b82c9088e635322ab5c59015c39c,43ac672 327 commits back from current GitHub head Hash:cdecb7091538b82c9088e635322ab5c59015c39c,,23.907,2319,1,2317,0,0,2317,0.999137559292799,cdecb7091538b82c9088e635322ab5c59015c39c,327_cdecb7091538b82c9088e635322ab5c59015c39c_Results,,0.006,2132,2132,0,0,0,0,0
310769995af0078fbc6eed4886de32e46f2d6acc,44a6d21 351 commits back from current GitHub head Hash:310769995af0078fbc6eed4886de32e46f2d6acc,,110.327,2487,772,1714,0,0,1714,0.689183755528749,310769995af0078fbc6eed4886de32e46f2d6acc,44a6d21 351 commits back from current GitHub head Hash:310769995af0078fbc6eed4886de32e46f2d6acc,,25.29,2296,1,2294,0,0,2294,0.999128919860627,310769995af0078fbc6eed4886de32e46f2d6acc,351_310769995af0078fbc6eed4886de32e46f2d6acc_Results,,31.184,2109,280,1822,7,0,1829,0.867235656709341
68fa401d70fae728d4b6eef9e58b6cf4f11742a3,4961993 388 commits back from current GitHub head Hash:68fa401d70fae728d4b6eef9e58b6cf4f11742a3,,22.667,2403,2211,191,0,0,191,0.0794839783603829,68fa401d70fae728d4b6eef9e58b6cf4f11742a3,4961993 388 commits back from current GitHub head Hash:68fa401d70fae728d4b6eef9e58b6cf4f11742a3,,25.93,2212,1,2210,0,0,2210,0.999095840867993,68fa401d70fae728d4b6eef9e58b6cf4f11742a3,388_68fa401d70fae728d4b6eef9e58b6cf4f11742a3_Results,,0.006,2025,2025,0,0,0,0,0
795ef28e0ab1de4a2e9582be1f4e43555a7e5920,4de1d8a 346 commits back from current GitHub head Hash:795ef28e0ab1de4a2e9582be1f4e43555a7e5920,,67.907,2488,1518,969,0,0,969,0.389469453376206,795ef28e0ab1de4a2e9582be1f4e43555a7e5920,4de1d8a 346 commits back from current GitHub head Hash:795ef28e0ab1de4a2e9582be1f4e43555a7e5920,,24.373,2297,1,2295,0,0,2295,0.999129299085764,795ef28e0ab1de4a2e9582be1f4e43555a7e5920,346_795ef28e0ab1de4a2e9582be1f4e43555a7e5920_Results,,29.59,2110,317,1786,7,0,1793,0.849763033175355
9021858293cd3b77b6ec5b9009b3fe9968c0470a,4e313eb 373 commits back from current GitHub head Hash:9021858293cd3b77b6ec5b9009b3fe9968c0470a,,108.826,2452,700,1751,0,0,1751,0.714110929853181,9021858293cd3b77b6ec5b9009b3fe9968c0470a,4e313eb 373 commits back from current GitHub head Hash:9021858293cd3b77b6ec5b9009b3fe9968c0470a,,25.43,2261,1,2259,0,0,2259,0.999115435647943,9021858293cd3b77b6ec5b9009b3fe9968c0470a,373_9021858293cd3b77b6ec5b9009b3fe9968c0470a_Results,,29.826,2074,149,1918,7,0,1925,0.928158148505304
95d8537ae459e67ae13fea79906fb384d76528a2,4ec9d12 358 commits back from current GitHub head Hash:95d8537ae459e67ae13fea79906fb384d76528a2,,68.323,2486,1561,924,0,0,924,0.371681415929204,95d8537ae459e67ae13fea79906fb384d76528a2,4ec9d12 358 commits back from current GitHub head Hash:95d8537ae459e67ae13fea79906fb384d76528a2,,26.186,2295,1,2293,0,0,2293,0.999128540305011,95d8537ae459e67ae13fea79906fb384d76528a2,358_95d8537ae459e67ae13fea79906fb384d76528a2_Results,,0.006,2108,2108,0,0,0,0,0
