TiaGitHubHash,TiaMetaInfo,TiaVstsHash,TiaRuntime,TiaTotalTests,TiaNumberOfUnAnalyzedTests,TiaNumberofTestsPassed,TiaNumberOfTestsFailed,TiaNumberOfTestsSkipped,TiaTotalNumberOfTestRun,TiaPercentageOfTestsRun,RetestAllGitHubHash,RetestAllMetaInfo,RetestAllVstsHash,RetestAllRuntime,RetestAllTotalTests,RetestAllNumberOfUnAnalyzedTests,RetestAllNumberofTestsPassed,RetestAllNumberOfTestsFailed,RetestAllNumberOfTestsSkipped,RetestAllTotalNumberOfTestRun,RetestAllPercentageOfTestsRun,ESharpGitHubHash,ESharpMetaInfo,ESharpVstsHash,ESharpRuntime,ESharpTotalTests,ESharpNumberOfUnAnalyzedTests,ESharpNumberofTestsPassed,ESharpNumberOfTestsFailed,ESharpNumberOfTestsSkipped,ESharpTotalNumberOfTestRun,ESharpPercentageOfTestsRun
70c47fff4fe39824a3ab92cc6ab62400519e630f,b611a22 318 commits back from current GitHub head Hash:70c47fff4fe39824a3ab92cc6ab62400519e630f,,15.037,228,148,80,0,0,80,0.350877192982456,70c47fff4fe39824a3ab92cc6ab62400519e630f,b611a22 318 commits back from current GitHub head Hash:70c47fff4fe39824a3ab92cc6ab62400519e630f,,2.046,158,1,157,0,0,157,0.993670886075949,70c47fff4fe39824a3ab92cc6ab62400519e630f,318_70c47fff4fe39824a3ab92cc6ab62400519e630f_Results,,1.87,158,102,55,1,0,56,0.354430379746835
4ae177263577bfa939bd576a260394d36f4c961b,b8fac69 287 commits back from current GitHub head Hash:4ae177263577bfa939bd576a260394d36f4c961b,,13.666,228,144,84,0,0,84,0.368421052631579,4ae177263577bfa939bd576a260394d36f4c961b,b8fac69 287 commits back from current GitHub head Hash:4ae177263577bfa939bd576a260394d36f4c961b,,2.07,158,0,158,0,0,158,1,4ae177263577bfa939bd576a260394d36f4c961b,287_4ae177263577bfa939bd576a260394d36f4c961b_Results,,2.889,158,14,144,0,0,144,0.911392405063291
6fdbfaebde455d18068f2a20a802d6476e438a07,bb14dc7 275 commits back from current GitHub head Hash:6fdbfaebde455d18068f2a20a802d6476e438a07,,13.54,228,158,70,0,0,70,0.307017543859649,6fdbfaebde455d18068f2a20a802d6476e438a07,bb14dc7 275 commits back from current GitHub head Hash:6fdbfaebde455d18068f2a20a802d6476e438a07,,2.137,158,0,158,0,0,158,1,6fdbfaebde455d18068f2a20a802d6476e438a07,275_6fdbfaebde455d18068f2a20a802d6476e438a07_Results,,0.01,158,158,0,0,0,0,0
e2f36afbb2420cc68361844e77469c7e1097443d,bbc8ed8 321 commits back from current GitHub head Hash:e2f36afbb2420cc68361844e77469c7e1097443d,,14.477,228,152,76,0,0,76,0.333333333333333,e2f36afbb2420cc68361844e77469c7e1097443d,bbc8ed8 321 commits back from current GitHub head Hash:e2f36afbb2420cc68361844e77469c7e1097443d,,1.963,158,0,158,0,0,158,1,e2f36afbb2420cc68361844e77469c7e1097443d,321_e2f36afbb2420cc68361844e77469c7e1097443d_Results,,1.054,158,156,2,0,0,2,0.0126582278481013
70bf0c65fcff6611ae31db70f029b8b83d666303,c0d5079 316 commits back from current GitHub head Hash:70bf0c65fcff6611ae31db70f029b8b83d666303,,13.91,228,158,70,0,0,70,0.307017543859649,70bf0c65fcff6611ae31db70f029b8b83d666303,c0d5079 316 commits back from current GitHub head Hash:70bf0c65fcff6611ae31db70f029b8b83d666303,,1.987,158,1,157,0,0,157,0.993670886075949,70bf0c65fcff6611ae31db70f029b8b83d666303,316_70bf0c65fcff6611ae31db70f029b8b83d666303_Results,,0.01,158,158,0,0,0,0,0
32e68c86ee12e1cb5bae1fe0b5ac3798d5bcadf2,c17ab1f 271 commits back from current GitHub head Hash:32e68c86ee12e1cb5bae1fe0b5ac3798d5bcadf2,,14.18,239,160,79,0,0,79,0.330543933054393,32e68c86ee12e1cb5bae1fe0b5ac3798d5bcadf2,c17ab1f 271 commits back from current GitHub head Hash:32e68c86ee12e1cb5bae1fe0b5ac3798d5bcadf2,,2.303,169,0,169,0,0,169,1,32e68c86ee12e1cb5bae1fe0b5ac3798d5bcadf2,271_32e68c86ee12e1cb5bae1fe0b5ac3798d5bcadf2_Results,,0.265,169,166,3,0,0,3,0.0177514792899408
e88d205f6dabdd8a2d0994b30afba609d424bdb9,c44daaa 343 commits back from current GitHub head Hash:e88d205f6dabdd8a2d0994b30afba609d424bdb9,,1.64,4,4,0,0,0,0,0,e88d205f6dabdd8a2d0994b30afba609d424bdb9,c44daaa 343 commits back from current GitHub head Hash:e88d205f6dabdd8a2d0994b30afba609d424bdb9,,1.723,4,0,4,0,0,4,1,e88d205f6dabdd8a2d0994b30afba609d424bdb9,343_e88d205f6dabdd8a2d0994b30afba609d424bdb9_Results,,0,4,4,0,0,0,0,0
0aa9a44ac9a959b10677036e60bd85cd66fe7307,c4e074a 265 commits back from current GitHub head Hash:0aa9a44ac9a959b10677036e60bd85cd66fe7307,,13.53,239,169,70,0,0,70,0.292887029288703,0aa9a44ac9a959b10677036e60bd85cd66fe7307,c4e074a 265 commits back from current GitHub head Hash:0aa9a44ac9a959b10677036e60bd85cd66fe7307,,2.23,169,0,169,0,0,169,1,0aa9a44ac9a959b10677036e60bd85cd66fe7307,265_0aa9a44ac9a959b10677036e60bd85cd66fe7307_Results,,0.01,169,169,0,0,0,0,0
f426fb5c9ef459e4140c65a99132f884a3d1bc3c,c73d368 294 commits back from current GitHub head Hash:f426fb5c9ef459e4140c65a99132f884a3d1bc3c,,13.746,228,149,79,0,0,79,0.346491228070175,f426fb5c9ef459e4140c65a99132f884a3d1bc3c,c73d368 294 commits back from current GitHub head Hash:f426fb5c9ef459e4140c65a99132f884a3d1bc3c,,1.874,158,0,158,0,0,158,1,f426fb5c9ef459e4140c65a99132f884a3d1bc3c,294_f426fb5c9ef459e4140c65a99132f884a3d1bc3c_Results,,0.008,158,158,0,0,0,0,0
a3b2a1bfc8b450a2eaeda0c27deed6c3a756975f,ca0a4bc 307 commits back from current GitHub head Hash:a3b2a1bfc8b450a2eaeda0c27deed6c3a756975f,,13.047,228,158,70,0,0,70,0.307017543859649,a3b2a1bfc8b450a2eaeda0c27deed6c3a756975f,ca0a4bc 307 commits back from current GitHub head Hash:a3b2a1bfc8b450a2eaeda0c27deed6c3a756975f,,1.94,158,0,158,0,0,158,1,a3b2a1bfc8b450a2eaeda0c27deed6c3a756975f,307_a3b2a1bfc8b450a2eaeda0c27deed6c3a756975f_Results,,0.01,158,158,0,0,0,0,0
